
lexemeCurrentNode     lineno   token   valueIfNumber   parentNodeSymbol   isLeafNode(yes/no)    NodeSymbol
-----, 0, program, -----, root, no, program
-----, 4, otherFunctions, -----, program, no, otherFunctions
-----, 4, function, -----, otherFunctions, no, function
computeFunctionValue, 4, TK_FUNID, -----, function, yes, -----
-----, 4, input_par, -----, function, no, input_par
input, 4, TK_INPUT, -----, input_par, yes, -----
input, 4, TK_PARAMETER, -----, input_par, yes, -----
input, 4, TK_LIST, -----, input_par, yes, -----
input, 4, TK_SQL, -----, input_par, yes, -----
-----, 4, parameter_list, -----, input_par, no, parameter_list
-----, 4, dataType, -----, parameter_list, no, dataType
-----, 4, primitiveDatatype, -----, dataType, no, primitiveDatatype
int, 4, TK_INT, -----, primitiveDatatype, yes, -----
int, 4, TK_ID, -----, parameter_list, yes, -----
-----, 4, remaining_list, -----, parameter_list, no, remaining_list
,, 4, TK_COMMA, -----, remaining_list, yes, -----
-----, 4, parameter_list, -----, remaining_list, no, parameter_list
-----, 5, dataType, -----, parameter_list, no, dataType
-----, 5, primitiveDatatype, -----, dataType, no, primitiveDatatype
int, 5, TK_INT, -----, primitiveDatatype, yes, -----
int, 5, TK_ID, -----, parameter_list, yes, -----
-----, 5, remaining_list, -----, parameter_list, no, remaining_list
,, 5, TK_COMMA, -----, remaining_list, yes, -----
-----, 5, parameter_list, -----, remaining_list, no, parameter_list
-----, 6, dataType, -----, parameter_list, no, dataType
-----, 6, primitiveDatatype, -----, dataType, no, primitiveDatatype
int, 6, TK_INT, -----, primitiveDatatype, yes, -----
int, 6, TK_ID, -----, parameter_list, yes, -----
-----, 6, remaining_list, -----, parameter_list, no, remaining_list
input, 4, TK_SQR, -----, input_par, yes, -----
-----, 4, output_par, -----, function, no, output_par
output, 6, TK_OUTPUT, -----, output_par, yes, -----
output, 6, TK_PARAMETER, -----, output_par, yes, -----
output, 6, TK_LIST, -----, output_par, yes, -----
output, 6, TK_SQL, -----, output_par, yes, -----
-----, 6, parameter_list, -----, output_par, no, parameter_list
-----, 6, dataType, -----, parameter_list, no, dataType
-----, 6, primitiveDatatype, -----, dataType, no, primitiveDatatype
real, 6, TK_REAL, -----, primitiveDatatype, yes, -----
real, 6, TK_ID, -----, parameter_list, yes, -----
-----, 6, remaining_list, -----, parameter_list, no, remaining_list
output, 6, TK_SQR, -----, output_par, yes, -----
computeFunctionValue, 4, TK_SEM, -----, function, yes, -----
-----, 4, stmts, -----, function, no, stmts
-----, 7, typeDefinitions, -----, stmts, no, typeDefinitions
-----, 7, declarations, -----, stmts, no, declarations
-----, 7, declaration, -----, declarations, no, declaration
type, 7, TK_TYPE, -----, declaration, yes, -----
-----, 7, dataType, -----, declaration, no, dataType
-----, 7, primitiveDatatype, -----, dataType, no, primitiveDatatype
real, 7, TK_REAL, -----, primitiveDatatype, yes, -----
type, 7, TK_COLON, -----, declaration, yes, -----
type, 7, TK_ID, -----, declaration, yes, -----
-----, 7, global_or_not, -----, declaration, no, global_or_not
type, 7, TK_SEM, -----, declaration, yes, -----
-----, 7, declarations, -----, declarations, no, declarations
-----, 9, declaration, -----, declarations, no, declaration
type, 9, TK_TYPE, -----, declaration, yes, -----
-----, 9, dataType, -----, declaration, no, dataType
-----, 9, primitiveDatatype, -----, dataType, no, primitiveDatatype
real, 9, TK_REAL, -----, primitiveDatatype, yes, -----
type, 9, TK_COLON, -----, declaration, yes, -----
type, 9, TK_ID, -----, declaration, yes, -----
-----, 9, global_or_not, -----, declaration, no, global_or_not
type, 9, TK_SEM, -----, declaration, yes, -----
-----, 9, declarations, -----, declarations, no, declarations
-----, 7, otherStmts, -----, stmts, no, otherStmts
-----, 11, stmt, -----, otherStmts, no, stmt
-----, 11, assignmentStmt, -----, stmt, no, assignmentStmt
-----, 11, singleOrRecId, -----, assignmentStmt, no, singleOrRecId
c6, 11, TK_ID, -----, singleOrRecId, yes, -----
-----, 11, new_24, -----, singleOrRecId, no, new_24
c6, 11, TK_ASSIGNOP, -----, assignmentStmt, yes, -----
-----, 11, arithmeticExpression, -----, assignmentStmt, no, arithmeticExpression
-----, 12, term, -----, arithmeticExpression, no, term
-----, 12, factor, -----, term, no, factor
-----, 12, allVar, -----, factor, no, allVar
5000.79;, 12, TK_RNUM, -----, allVar, yes, -----
-----, 12, termPrime, -----, term, no, termPrime
-----, 12, expPrime, -----, arithmeticExpression, no, expPrime
c6, 11, TK_SEM, -----, assignmentStmt, yes, -----
-----, 11, otherStmts, -----, otherStmts, no, otherStmts
-----, 13, stmt, -----, otherStmts, no, stmt
-----, 13, assignmentStmt, -----, stmt, no, assignmentStmt
-----, 13, singleOrRecId, -----, assignmentStmt, no, singleOrRecId
d4, 13, TK_ID, -----, singleOrRecId, yes, -----
-----, 13, new_24, -----, singleOrRecId, no, new_24
d4, 13, TK_ASSIGNOP, -----, assignmentStmt, yes, -----
-----, 13, arithmeticExpression, -----, assignmentStmt, no, arithmeticExpression
-----, 14, term, -----, arithmeticExpression, no, term
-----, 14, factor, -----, term, no, factor
(, 14, TK_OP, -----, factor, yes, -----
-----, 14, arithmeticExpression, -----, factor, no, arithmeticExpression
-----, 14, term, -----, arithmeticExpression, no, term
-----, 14, factor, -----, term, no, factor
(, 14, TK_OP, -----, factor, yes, -----
-----, 14, arithmeticExpression, -----, factor, no, arithmeticExpression
-----, 14, term, -----, arithmeticExpression, no, term
-----, 14, factor, -----, term, no, factor
-----, 14, allVar, -----, factor, no, allVar
-----, 14, singleOrRecId, -----, allVar, no, singleOrRecId
c3, 14, TK_ID, -----, singleOrRecId, yes, -----
-----, 14, new_24, -----, singleOrRecId, no, new_24
-----, 14, termPrime, -----, term, no, termPrime
-----, 14, expPrime, -----, arithmeticExpression, no, expPrime
-----, 14, lowPrecedenceOperators, -----, expPrime, no, lowPrecedenceOperators
+, 14, TK_PLUS, -----, lowPrecedenceOperators, yes, -----
-----, 14, term, -----, expPrime, no, term
-----, 15, factor, -----, term, no, factor
-----, 15, allVar, -----, factor, no, allVar
2, 15, TK_NUM, -----, allVar, yes, -----
-----, 15, termPrime, -----, term, no, termPrime
-----, 15, highPrecedenceOperators, -----, termPrime, no, highPrecedenceOperators
*, 15, TK_MUL, -----, highPrecedenceOperators, yes, -----
-----, 15, factor, -----, termPrime, no, factor
-----, 15, allVar, -----, factor, no, allVar
-----, 15, singleOrRecId, -----, allVar, no, singleOrRecId
c4, 15, TK_ID, -----, singleOrRecId, yes, -----
-----, 15, new_24, -----, singleOrRecId, no, new_24
-----, 15, termPrime, -----, termPrime, no, termPrime
-----, 14, expPrime, -----, expPrime, no, expPrime
(, 14, TK_CL, -----, factor, yes, -----
-----, 14, termPrime, -----, term, no, termPrime
-----, 14, expPrime, -----, arithmeticExpression, no, expPrime
-----, 15, lowPrecedenceOperators, -----, expPrime, no, lowPrecedenceOperators
-, 15, TK_MINUS, -----, lowPrecedenceOperators, yes, -----
-----, 15, term, -----, expPrime, no, term
-----, 15, factor, -----, term, no, factor
(, 15, TK_OP, -----, factor, yes, -----
-----, 15, arithmeticExpression, -----, factor, no, arithmeticExpression
-----, 15, term, -----, arithmeticExpression, no, term
-----, 15, factor, -----, term, no, factor
-----, 15, allVar, -----, factor, no, allVar
-----, 15, singleOrRecId, -----, allVar, no, singleOrRecId
c5, 15, TK_ID, -----, singleOrRecId, yes, -----
-----, 15, new_24, -----, singleOrRecId, no, new_24
-----, 15, termPrime, -----, term, no, termPrime
-----, 15, expPrime, -----, arithmeticExpression, no, expPrime
-----, 15, lowPrecedenceOperators, -----, expPrime, no, lowPrecedenceOperators
